run_id,model_name,quantization_type,split_point,dataset_name,batch_size,mem-peak-mb,mem-first-mb,mem-usage-mb,time,bandwidth,model-size
run_qgUOISuy,ResNet18,full,1,Cifar10_IID,128,2987.7265625,1173.546875,1814.1796875,1.359947919845581,102762299,642613
run_qgUOISuy,ResNet18,full,1,Cifar10_IID,128,2978.33203125,1173.890625,1804.44140625,1.3720717430114746,102762299,642613
run_qgUOISuy,ResNet18,full,1,Cifar10_IID,128,2985.66796875,1173.75,1811.91796875,1.8130607604980469,102762299,642613
run_qgUOISuy,ResNet18,full,1,Cifar10_IID,128,2988.265625,1173.85546875,1814.41015625,1.6497881412506104,102762299,642613
run_qgUOISuy,ResNet18,full,1,Cifar10_IID,128,2983.6328125,1173.96875,1809.6640625,1.3068063259124756,102762299,642613
run_qgUOISuy,ResNet18,full,1,Cifar10_IID,128,2982.19921875,1173.96875,1808.23046875,1.3693525791168213,102762299,642613
run_qgUOISuy,ResNet18,full,1,Cifar10_IID,128,2974.30859375,1173.81640625,1800.4921875,1.5082874298095703,102762299,642613
run_qgUOISuy,ResNet18,full,1,Cifar10_IID,128,2981.921875,1173.875,1808.046875,1.2459518909454346,102762299,642613
run_qgUOISuy,ResNet18,full,1,Cifar10_IID,128,2985.58984375,1173.703125,1811.88671875,2.2316577434539795,102762299,642613
run_qgUOISuy,ResNet18,full,1,Cifar10_IID,128,2985.5,1173.82421875,1811.67578125,1.3501601219177246,102762299,642613
run_ZMIP2OJg,ResNet18,ptq,1,Cifar10_IID,128,2207.85546875,1128.44921875,1079.40625,0.1589202880859375,25692005,174859
run_ZMIP2OJg,ResNet18,ptq,1,Cifar10_IID,128,2256.9140625,1153.12890625,1103.78515625,0.27998948097229004,25692005,174859
run_ZMIP2OJg,ResNet18,ptq,1,Cifar10_IID,128,2306.04296875,1177.859375,1128.18359375,0.15769219398498535,25692005,174859
run_ZMIP2OJg,ResNet18,ptq,1,Cifar10_IID,128,2257.12890625,1153.22265625,1103.90625,0.15149426460266113,25692005,174859
run_ZMIP2OJg,ResNet18,ptq,1,Cifar10_IID,128,2306.13671875,1177.85546875,1128.28125,0.2125842571258545,25692005,174859
run_ZMIP2OJg,ResNet18,ptq,1,Cifar10_IID,128,2257.06640625,1153.19140625,1103.875,0.1863391399383545,25692005,174859
